"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"113,Scott Dann\52105203,5,0.33,4,0,0,0,0,0.00,0,0,0,0"
"114,Karl Darlow\cde3309f,3,0.12,1,2,0,0,1,0.04,1,0,0,0"
"115,Ben Davies\44781702,17,1.14,12,0,1,0,4,0.27,2,0,1,0"
"116,Tom Davies\9228b07c,21,1.33,20,0,1,0,2,0.13,2,0,0,0"
"117,Keinan Davis\9deaf2c8,15,4.87,8,0,3,2,2,0.65,1,0,0,0"
"118,Leif Davis\8574c61f,1,2.73,1,0,0,0,0,0.00,0,0,0,0"
"119,Craig Dawson\3e9e06cb,8,0.37,5,1,0,1,0,0.00,0,0,0,0"
"120,Kevin De Bruyne\e46012d4,142,6.40,95,24,7,4,19,0.86,15,0,2,0"
"121,Liam Delap\dd897ee7,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"122,Fabian Delph\111c3236,3,1.02,2,1,0,0,0,0.00,0,0,0,0"
"123,Leander Dendoncker\5a7301ae,43,1.55,36,1,1,3,6,0.22,4,0,0,2"
"124,Mbaye Diagne\dda3969e,28,2.12,20,1,1,1,7,0.53,4,0,0,1"
"125,Amad Diallo\9dc96f10,2,1.08,2,0,0,0,1,0.54,1,0,0,0"
"126,Ibrahima Diallo\11ff3d56,18,1.59,15,0,0,1,1,0.09,1,0,0,0"
"127,Grady Diangana\f522d7ec,20,1.46,12,1,1,3,1,0.07,1,0,0,0"
"128,Raphael Dias Belloli\3423f250,109,4.16,62,26,10,4,14,0.53,8,3,1,2"
"129,Rúben Dias\31c69ef1,21,0.66,19,0,0,1,2,0.06,1,0,0,1"
"130,Eric Dier\ac861941,16,0.57,14,0,0,1,0,0.00,0,0,0,0"
"131,Lucas Digne\1b84dbe1,70,2.35,49,17,0,2,11,0.37,6,3,0,2"
"132,Virgil van Dijk\e06683ca,1,0.24,1,0,0,0,0,0.00,0,0,0,0"
"133,Issa Diop\a712ca2b,4,0.26,4,0,0,0,1,0.07,1,0,0,0"
"134,Moussa Djenepo\254147d4,31,2.25,15,0,10,1,4,0.29,1,0,2,0"
"135,Matt Doherty\d557d734,22,1.60,18,1,1,0,2,0.15,2,0,0,0"
"136,Gabriel Dos Santos\67ac5bb8,10,0.45,6,1,1,2,0,0.00,0,0,0,0"
"137,Abdoulaye Doucouré\02b29014,41,1.51,36,1,1,1,5,0.18,5,0,0,0"
"138,Martin Dúbravka\3a949a25,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"139,Paul Dummett\3fe6bd8c,5,0.36,5,0,0,0,1,0.07,1,0,0,0"
"140,Lewis Dunk\282f75f3,19,0.58,14,1,0,4,0,0.00,0,0,0,0"
"141,Jimmy Dunne\1fdfd6da,3,1.00,3,0,0,0,0,0.00,0,0,0,0"
"142,Ederson\3bb7b8b4,5,0.14,4,1,0,0,1,0.03,1,0,0,0"
"143,Kyle Edwards\1566e437,1,0.76,1,0,0,0,0,0.00,0,0,0,0"
"144,John Egan\debe38a0,13,0.45,12,0,0,0,1,0.03,1,0,0,0"
"145,Anthony Elanga\2fba6108,2,1.16,1,0,1,0,0,0.00,0,0,0,0"
"146,Ahmed Elmohamady\615ef733,21,2.25,18,1,0,1,1,0.11,0,1,0,0"
"147,Mohamed Elneny\47a34c4f,16,0.93,13,0,1,1,0,0.00,0,0,0,0"
"148,Jonny Evans\f8fcd2a5,14,0.51,14,0,0,0,4,0.15,4,0,0,0"
"149,Eberechi Eze\ae4fc6a4,83,2.92,48,13,10,2,12,0.42,4,2,4,1"
"150,?ukasz Fabia?ski\9328b835,1,0.03,0,1,0,0,0,0.00,0,0,0,0"
