"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"269,Victor Lindelöf\f5deef4c,91.1,32452,10570,94.4,95.9,72.3,6,99,6,0,92"
"270,Jesse Lingard\810e3c74,81.3,8598,2289,88.3,85.1,57.8,17,58,26,4,65"
"271,Jake Livermore\b98570d1,74.3,4979,1148,82.2,75.5,58.1,5,29,2,1,25"
"272,Diego Llorente\bba30585,85.4,13050,3174,87.0,91.4,72.8,4,28,1,0,23"
"273,Hugo Lloris\8f62b6ee,71.5,21867,13918,99.5,98.2,48.2,0,6,0,0,0"
"274,Giovani Lo Celso\d7553721,78.9,8364,2205,88.8,82.5,61.4,14,44,11,0,58"
"275,Ruben Loftus-Cheek\e97fd090,68.8,166,22,100.0,80.0,33.3,0,1,0,0,1"
"276,Ruben Loftus-Cheek\e97fd090,83.1,9651,2183,85.9,88.4,71.2,15,62,12,2,71"
"277,Kevin Long\5a4280b1,71.0,4324,1387,82.0,78.4,57.5,0,9,2,0,15"
"278,Shane Long\9f472354,64.4,494,168,79.4,50.0,100.0,0,3,0,0,4"
"279,Matthew Longstaff\c0027d2d,79.1,2121,341,82.8,88.0,63.3,2,4,1,1,3"
"280,Sean Longstaff\a2b105e0,79.0,9478,2178,88.3,88.0,60.5,11,41,2,1,40"
"281,Ademola Lookman\7c104bb7,75.3,14977,4309,85.3,82.4,48.3,60,46,42,5,105"
"282,Max Lowe\7af88b33,65.0,2360,772,79.8,66.7,38.2,3,14,5,1,16"
"283,Matthew Lowton\9a9c05db,68.8,20277,9177,90.5,71.9,42.1,24,120,43,10,131"
"284,David Luiz\c0e27d1a,83.6,18737,5266,91.2,93.2,65.6,2,66,8,0,61"
"285,Douglas Luiz\6f7d826d,84.8,25159,5671,90.3,89.9,74.8,19,127,15,3,106"
"286,John Lundstram\0df2b165,81.0,15138,3357,92.7,88.2,49.7,19,59,12,2,59"
"287,Alexis Mac Allister\83d074ff,79.4,5542,1298,84.1,83.1,72.9,15,24,17,0,36"
"288,James Maddison\ee38d9c5,77.3,15126,4144,88.2,83.5,52.2,52,86,35,5,101"
"289,Harry Maguire\d8931174,89.0,42647,12352,91.0,93.3,79.1,7,194,8,1,104"
"290,Riyad Mahrez\892d5bb1,84.2,14951,3135,91.8,86.9,60.2,41,35,52,6,88"
"291,Ainsley Maitland-Niles\e3a5814e,78.5,4033,1102,86.5,86.1,52.4,3,15,3,1,14"
"292,Ainsley Maitland-Niles\e3a5814e,76.6,4599,1301,82.5,76.5,65.9,5,18,8,1,34"
"293,Josh Maja\bc0bfc64,87.7,2511,198,90.3,94.6,93.3,8,4,4,0,7"
"294,Sadio Mané\c691bfe2,75.4,13522,2878,80.7,79.5,71.0,57,37,67,10,105"
"295,Javier Manquillo\758dd7f0,74.0,4706,2027,92.0,69.2,44.6,4,15,4,2,21"
"296,Fernando Marçal\9ae9eaea,82.7,5445,2032,93.5,83.8,60.7,4,15,2,1,24"
"297,Solly March\bb5fbd2b,69.8,12847,4328,85.3,74.6,45.9,27,39,34,13,77"
"298,Pablo Marí\aa54ec6f,90.7,10977,2753,95.3,97.7,67.3,0,20,0,0,19"
"299,Anthony Martial\8b788c01,82.8,5653,1141,88.6,83.3,80.0,15,26,15,0,43"
"300,Martinelli\48a5a5d6,79.2,1863,421,84.1,82.1,50.0,9,2,7,3,8"
"301,Emiliano Martínez\7956236f,65.6,28998,18873,100.0,99.7,44.4,2,27,1,0,0"
"302,Arthur Masuaku\57df7a11,80.1,7513,2551,90.1,79.5,62.1,13,25,16,10,39"
"303,Juan Mata\29733c72,84.0,3813,827,92.5,83.9,64.7,8,18,4,1,19"
"304,Jean-Philippe Mateta\50e6dc35,60.8,334,67,83.3,26.7,,1,1,0,0,3"
"305,Nemanja Mati?\eb7822d7,90.5,16853,4366,93.3,92.9,80.7,7,83,10,3,79"
"306,Joël Matip\b217ef29,88.4,10052,2584,93.4,94.5,70.2,2,30,1,0,15"
"307,Neal Maupay\4bcf39f6,77.4,7903,1364,82.3,83.8,61.7,31,32,28,4,41"
"308,James McArthur\cee31595,81.5,11897,3424,87.0,88.1,64.8,13,63,6,0,60"
"309,Oliver McBurnie\78b8ac63,62.9,3690,1051,67.9,61.7,63.6,14,21,16,0,43"
"310,Alex McCarthy\36c2ca73,64.3,18362,11429,99.5,99.0,35.7,0,7,2,0,0"
"311,James McCarthy\64b08de7,77.2,5343,1306,84.0,84.7,62.0,6,26,4,3,24"
"312,John McGinn\90f91999,77.3,23733,7706,86.1,81.9,65.0,40,179,44,6,179"
"313,David McGoldrick\dbe56a33,74.4,11570,2027,80.0,75.7,65.3,15,48,24,3,68"
"314,Dwight McNeil\fc15fb84,68.9,18456,5542,87.4,78.3,45.8,50,74,41,24,77"
"315,Scott McTominay\d93c2511,87.3,21728,5711,91.6,90.1,75.6,14,109,9,1,104"
"316,Ben Mee\8df7a2fb,75.1,18309,6982,85.9,85.0,57.0,6,51,1,0,64"
"317,Hannibal Mejbri\ca22ccb0,100.0,58,25,100.0,,100.0,0,1,0,0,1"
"318,Benjamin Mendy\5271c8f1,81.7,9755,2601,88.0,87.6,60.0,5,28,10,3,49"
"319,Edouard Mendy\33887998,84.6,20804,10309,99.0,99.3,59.0,0,4,0,0,0"
"320,Nampalys Mendy\1598599e,91.4,15259,3059,93.1,93.4,80.2,6,78,0,0,49"
"321,Illan Meslier\6b625ac2,80.9,27992,13228,99.2,98.7,56.2,1,2,0,0,0"
"322,Luka Milivojevi?\2ce2508a,81.1,20757,6655,88.7,85.7,66.5,20,104,13,2,108"
"323,James Milner\2f90f6b8,84.9,14666,4242,92.2,89.7,71.9,13,76,26,5,89"
"324,Yerry Mina\6d5701f2,90.9,23055,6367,93.9,95.5,74.8,0,49,0,0,45"
"325,Takumi Minamino\f833a830,79.9,1589,332,90.4,81.6,25.0,0,11,2,0,4"
"326,Takumi Minamino\f833a830,72.4,2866,533,79.2,78.4,42.3,5,11,5,0,17"
"327,Tyrone Mings\8397a50c,79.6,29862,11824,88.9,92.1,55.6,7,120,6,2,108"
"328,Tyrick Mitchell\5cbd1eb0,70.2,8911,5506,85.1,71.4,43.5,3,50,10,6,55"
"329,Aleksandar Mitrovi?\3925dbd6,76.0,3977,615,81.2,71.0,66.7,22,12,13,1,20"
"330,Jakub Moder\f230bc30,74.6,2874,870,87.4,78.9,25.0,3,17,7,0,21"
"331,Jayson Molumby\c908a1bc,0.0,0,0,,,0.0,0,0,0,0,0"
"332,Wesley Moraes\bfae110f,100.0,30,0,100.0,,,0,0,0,0,0"
"333,Wes Morgan\80c31c97,100.0,93,78,100.0,100.0,,0,0,0,0,2"
"334,Mason Mount\9674002f,82.3,27434,7401,89.9,86.4,66.1,90,144,58,7,182"
"335,Lucas Moura\2b622f01,74.7,6841,1695,81.9,82.0,39.7,16,30,14,3,47"
"336,Lys Mousset\d9cfca3d,80.0,671,93,77.8,83.3,66.7,3,5,0,0,3"
"337,João Moutinho\f5a00fa4,84.8,30715,7297,91.6,91.2,66.2,47,117,19,6,123"
"338,Joel Mumbongo\f8e588df,83.3,52,0,100.0,100.0,,0,0,0,0,0"
"339,Jacob Murphy\de112b84,68.4,7545,3364,83.9,72.3,46.1,18,26,28,10,44"
"340,Shkodran Mustafi\3f2d59fe,85.4,1100,210,100.0,91.2,66.7,0,2,0,0,4"
"341,Marvelous Nakamba\de5b5570,85.7,4243,950,88.4,89.2,69.8,1,16,0,0,9"
"342,Iliman Ndiaye\5ed97752,100.0,35,16,100.0,100.0,,0,0,0,0,1"
"343,Wilfred Ndidi\6b47c5db,88.1,22396,4643,88.8,93.6,78.2,15,80,4,0,57"
"344,Tanguy Ndombele\5cdddffa,85.3,15903,4088,89.6,85.4,73.6,16,91,22,0,101"
"345,Reiss Nelson\c5bdb6e3,56.7,319,94,100.0,66.7,22.2,0,2,1,0,2"
"346,Pedro Neto\7ba2eaa9,78.8,15501,3302,91.4,81.3,49.7,60,34,39,24,53"
"347,Rúben Neves\44bfb6c5,84.3,38493,8615,88.0,90.1,75.6,32,203,21,2,140"
"348,Eddie Nketiah\a53649b7,82.0,1014,102,81.4,83.3,100.0,5,3,2,0,3"
"349,Niels Nkounkou\f5b281e7,79.4,480,107,100.0,80.0,50.0,0,3,0,0,2"
"350,Dan Nlundulu\30040f5d,66.7,398,55,62.5,91.7,100.0,1,3,1,0,2"
"351,Mark Noble\ff527768,87.2,7323,1739,90.7,92.0,80.3,5,41,6,3,25"
"352,Will Norris\c73ada83,48.2,1551,1393,100.0,100.0,42.0,1,8,1,0,1"
"353,Oliver Norwood\43439614,79.6,27097,7444,88.8,87.2,62.1,31,131,29,10,106"
"354,Jack O'Connell\312626c1,77.9,1225,531,95.8,80.0,60.0,0,4,2,0,6"
"355,Dara O'Shea\1d042188,66.0,12412,5876,86.1,71.8,45.4,6,70,4,0,57"
"356,Michael Obafemi\caa1a7f0,86.7,178,29,88.9,75.0,100.0,1,1,0,0,1"
"357,Denis Odoi\f7750aa0,82.7,3165,1036,90.0,87.8,69.4,1,11,2,1,10"
"358,Angelo Ogbonna\74b2cd7e,84.4,17791,4668,89.3,91.6,64.8,3,27,0,0,26"
"359,Robin Olsen\e7ee38c3,71.4,4967,3508,100.0,100.0,54.0,0,2,0,0,0"
"360,Josh Onomah\6612cd8c,89.8,2404,472,89.2,96.7,70.6,2,12,3,0,16"
"361,Divock Origi\43a166b4,76.7,564,77,86.7,75.0,0.0,2,2,0,0,1"
"362,Ben Osborn\79bc4c45,78.9,10376,3744,90.3,83.8,41.8,19,54,28,11,70"
"363,Owen Otasowie\6956ff08,70.3,691,118,66.7,80.0,57.1,2,0,0,0,2"
"364,Alex Oxlade-Chamberlain\38c7feef,75.4,2185,456,76.0,79.6,86.4,2,17,2,0,15"
"365,Emerson Palmieri\e0bc6fdc,81.0,927,203,96.4,78.9,72.7,0,1,1,1,0"
"366,Thomas Partey\529f49ab,86.9,18748,5119,90.9,90.4,73.6,12,124,10,0,108"
"367,Rui Patrício\79b0d6a0,66.8,18083,11654,99.0,97.6,50.9,0,5,0,0,0"
"368,Bailey Peacock-Farrell\4879f8cb,51.3,3210,2706,100.0,92.3,45.9,0,6,0,0,0"
"369,Lee Peltier\af341b88,63.2,895,258,91.3,78.6,23.8,1,4,2,1,2"
"370,Nicolas Pépé\57e3f0c7,75.7,7447,1466,84.3,81.5,47.5,11,17,17,1,40"
"371,Matheus Pereira\b04ee927,71.8,13122,4427,85.7,77.2,43.4,57,64,43,9,95"
"372,Ricardo Pereira\75a72a99,78.3,6621,2242,85.7,81.1,55.1,9,19,11,1,44"
"373,Ayoze Pérez\819aa8e7,76.6,5452,1421,85.6,76.2,48.8,23,26,27,5,54"
"374,Kalvin Phillips\4f565d77,82.8,28517,7192,89.6,89.6,71.7,34,139,16,3,104"
"375,Matt Phillips\7bb5f40e,69.3,6869,2326,81.6,71.1,48.0,27,21,21,14,42"
"376,Nathaniel Phillips\515ebe8d,87.2,19944,6161,91.7,94.1,68.8,6,79,2,0,60"
"377,Jaden Philogene Bidace\19f4d211,50.0,38,0,33.3,100.0,,0,0,0,0,0"
"378,Jordan Pickford\4806ec67,66.1,26383,18594,98.9,98.4,46.9,1,30,1,0,0"
"379,Erik Pieters\1ef37668,74.8,7764,2960,88.2,83.3,41.0,6,33,4,1,31"
"380,Daniel Podence\7fcc71d8,75.2,8742,2328,84.2,75.8,66.7,23,45,21,3,66"
"381,Paul Pogba\867239d3,82.8,21208,5036,88.9,89.0,66.8,24,113,34,3,111"
"382,Nick Pope\4b40d9ca,50.7,22939,18453,92.9,94.2,42.8,3,34,1,0,1"
"383,Dennis Praet\86695068,79.2,3875,850,90.0,77.3,46.7,7,10,7,2,20"
"384,Davy Pröpper\fdd85f94,76.0,1416,432,75.8,81.3,72.7,0,7,5,1,13"
"385,Christian Pulisic\1bf33a9a,80.0,8355,1840,85.7,79.6,66.7,26,31,40,2,66"
"386,Aaron Ramsdale\466fb2c5,49.1,24918,19336,96.6,98.1,37.4,2,52,0,0,0"
"387,Jacob Ramsey\1544f145,85.5,3360,717,87.8,88.8,83.3,6,16,1,1,15"
"388,Kayne Ramsey\dc31b84c,69.2,286,101,85.7,80.0,25.0,0,0,0,0,0"
"389,Darren Randolph\6385ebfb,54.5,1311,986,100.0,100.0,37.5,0,0,0,0,0"
"390,Marcus Rashford\a1d5bd30,80.6,15841,3175,87.5,83.8,64.3,41,34,56,6,96"
"391,Tim Ream\28b40c9c,91.2,8687,2742,96.2,96.5,76.6,0,31,0,0,24"
"392,Nathan Redmond\ab651565,75.9,9326,2326,83.1,77.1,65.8,29,35,31,5,74"
"393,Harrison Reed\803ae100,86.4,24280,5739,92.3,90.8,68.0,22,86,18,4,97"
"394,Sergio Reguilón\3353737a,77.2,18509,6530,88.8,81.9,41.9,17,60,27,16,82"
"395,Bobby Reid\0f7533cd,74.1,10197,2922,85.6,77.4,45.0,15,38,28,6,60"
"396,Declan Rice\1c7012b8,86.2,25003,6065,90.5,90.3,73.6,19,113,21,9,94"
"397,Lewis Richardson\4fa62ae4,0.0,0,0,0.0,,,0,0,0,0,0"
"398,Richarlison\fa031b34,69.2,8273,1745,79.2,71.3,58.1,25,24,14,1,42"
"399,Jaïro Riedewald\7a1f2c08,84.9,9123,2310,88.7,87.3,72.4,11,46,8,0,42"
"400,Matt Ritchie\71ef519e,67.7,7978,3480,87.6,76.4,38.8,24,27,18,13,37"
"401,Tyler Roberts\6c17e046,72.2,5289,1239,77.6,77.2,50.9,15,25,22,1,43"
"402,Andrew Robertson\2e4f5f03,79.9,47107,15919,88.2,87.1,49.5,66,177,66,26,265"
"403,Antonee Robinson\289601e6,72.6,18310,7073,85.1,78.4,47.8,28,40,43,25,87"
"404,Callum Robinson\e75750a3,70.8,5031,1145,81.3,78.2,49.2,14,21,12,7,21"
"405,Jack Robinson\7399c7a8,80.6,6743,2333,91.7,85.6,57.3,1,24,1,0,20"
"406,Hal Robson-Kanu\fb2dec57,74.4,941,238,82.5,72.7,58.3,6,7,2,1,9"
"407,Marek Rodák\17acc2ed,80.4,959,536,100.0,100.0,57.1,0,0,0,0,0"
"408,Joe Rodon\8d62d31a,88.8,7783,1857,91.8,94.1,71.8,0,9,0,0,10"
"409,Rodri\6434f10d,91.5,50166,10296,94.0,93.4,86.3,27,239,17,1,156"
"410,Rodrigo\1fb1c435,75.4,7609,1732,83.3,78.5,63.6,28,39,20,4,57"
"411,James Rodríguez\715bf047,79.1,18324,5584,86.5,86.7,65.5,43,104,41,7,132"
"412,Jay Rodriguez\4ab53cdb,73.5,2682,611,80.0,70.1,44.4,8,11,7,1,22"
"413,Oriol Romeu\4b511457,82.8,17575,3666,87.7,88.0,54.6,14,62,15,1,87"
"414,John Ruddy\da8b19e2,79.2,524,323,100.0,100.0,64.3,0,0,0,0,0"
"415,Antonio Rüdiger\18b896d6,90.8,27991,7649,96.5,96.1,70.5,3,111,4,1,52"
"416,Mathew Ryan\4535e4bb,78.7,8454,4146,100.0,100.0,52.0,0,1,0,0,0"
"417,Mathew Ryan\4535e4bb,92.5,1535,794,100.0,100.0,76.2,0,0,0,0,0"
"418,Allan Saint-Maximin\2b16cb1a,79.8,5913,1360,85.5,84.1,69.2,28,27,10,2,46"
"419,Romain Saïss\9fbbcf39,82.0,25009,10518,93.0,88.6,62.6,6,106,8,3,106"
"420,Bukayo Saka\bc7dc64d,74.9,13388,3443,85.8,81.5,38.1,38,55,29,8,64"
"421,Mamadou Sakho\87935cf3,87.8,1518,639,84.6,100.0,72.7,0,2,0,0,3"
"422,Mohamed Salah\e342ad68,83.2,16219,3877,90.8,83.6,63.0,54,61,74,12,137"
"423,Mohammed Salisu\0b33f6ad,82.4,5129,1850,91.1,85.1,60.0,1,16,0,0,18"
"424,Davinson Sánchez\da7b447d,86.9,18273,4714,91.2,92.7,71.6,0,20,1,0,29"
"425,Robert Sánchez\6a713852,71.6,23930,12677,98.3,99.2,48.3,0,25,0,0,1"
"426,Morgan Sanson\6e7f1353,75.8,2089,516,84.8,86.7,44.0,1,7,1,0,9"
"427,Romaine Sawyers\77bb1522,85.0,11796,3172,88.9,88.8,75.7,5,57,5,2,53"
"428,Dane Scarlett\21945a9e,,0,0,,,,0,0,0,0,0"
"429,Fabian Schär\c8aa95da,77.7,10909,4622,89.9,87.7,59.1,1,40,12,0,39"
"430,Jeffrey Schlupp\3312f911,70.9,4887,1406,76.8,74.2,53.8,17,31,10,2,36"
"431,Kasper Schmeichel\53af52f3,72.7,27045,14438,98.3,98.5,52.4,0,7,0,0,0"
"432,Nélson Semedo\d04b94db,81.4,24883,7784,91.4,83.4,57.8,20,93,24,14,100"
"433,Femi Seriki\e4e0deaa,,0,0,,,,0,0,0,0,0"
"434,Jamie Shackleton\8d03ca5a,88.3,2900,627,90.8,90.1,86.7,2,7,2,1,7"
"435,Xherdan Shaqiri\6421ec64,83.6,6282,1550,90.2,86.3,71.9,19,25,26,5,39"
"436,Billy Sharp\e8c9f4e9,69.9,1158,168,78.0,70.5,0.0,4,2,3,0,6"
"437,Luke Shaw\9c94165b,81.6,25958,11037,91.8,85.2,47.0,71,87,46,16,154"
"438,Jonjo Shelvey\3727dd3c,73.8,25957,7702,86.3,83.0,57.7,38,132,23,5,110"
"439,Shola Shoretire\00f0482f,75.0,84,12,80.0,100.0,,0,1,0,0,0"
"440,Gylfi Sigurðsson\76dd1480,79.1,13596,3452,86.1,89.0,54.3,45,52,22,5,62"
"441,Bernardo Silva\3eb22ec9,89.7,21634,3378,94.1,91.8,78.3,32,81,32,0,72"
"442,Fábio Silva\e7aa9d7c,74.2,3155,438,83.4,77.6,42.9,11,8,6,0,17"
"443,Thiago Silva\86e7deaf,93.5,38049,11880,96.3,97.1,82.3,5,113,7,0,78"
"444,Moussa Sissoko\2acd49b9,84.1,11832,2567,87.0,89.9,67.6,5,50,6,2,36"
"445,Islam Slimani\ffec9769,72.7,108,16,83.3,60.0,,1,0,0,0,1"
"446,William Smallbone\5e105217,82.1,1113,243,90.3,91.2,36.4,0,4,1,0,5"
"447,Emile Smith Rowe\17695062,87.7,9532,1794,90.4,91.5,75.0,24,37,14,2,42"
"448,Robert Snodgrass\9f4647e9,78.9,1699,544,83.1,75.0,63.6,3,9,5,0,15"
"449,Robert Snodgrass\9f4647e9,100.0,35,13,100.0,,,0,0,0,0,0"
"450,Cédric Soares\839c14e1,75.8,5737,2100,87.7,76.1,48.4,6,29,7,2,27"
"451,Tomáš Sou?ek\6613c819,76.9,21845,5546,78.7,78.1,75.9,16,102,11,2,103"
"452,Ça?lar Söyüncü\21166ff4,89.0,22877,6879,93.2,93.6,64.2,4,74,5,3,72"
"453,Zack Steffen\42130443,82.1,512,236,100.0,100.0,58.3,0,0,0,0,0"
"454,Dale Stephens\653ee42d,83.1,1894,528,89.8,84.8,73.9,0,7,3,0,12"
"455,Jack Stephens\6adbc307,83.2,17222,6271,88.3,89.6,62.6,8,67,11,0,60"
"456,Raheem Sterling\b400bde0,85.4,12874,2421,91.1,89.2,62.0,38,38,29,5,62"
"457,Enda Stevens\17d4507a,77.5,19176,8176,91.3,80.2,47.1,18,88,30,8,116"
"458,John Stones\5eecec3d,94.3,31552,7992,95.8,96.8,85.7,2,113,4,0,75"
"459,Pascal Struijk\f4d296e4,87.1,24438,6594,89.9,93.3,72.1,5,48,2,0,47"
"460,Japhet Tanganga\e9971f2d,84.3,2898,1163,90.0,88.9,41.2,0,6,3,1,12"
"461,Matt Targett\e514ab62,77.0,30781,15309,89.5,79.6,54.3,44,159,53,15,222"
"462,James Tarkowski\15ea812b,72.0,20747,7676,77.3,81.7,59.9,10,69,13,2,76"
"463,Percy Tau\4d0eb7d2,75.9,322,67,73.3,90.9,0.0,3,1,1,0,2"
"464,Sidnei Tavares\3add8ed8,73.1,309,52,68.8,87.5,100.0,0,0,0,0,1"
"465,Charlie Taylor\cc2d7ad5,69.9,16840,7035,87.4,76.5,40.1,15,73,25,19,66"
"466,Neil Taylor\c2f9d19f,90.9,120,29,100.0,66.7,,0,0,0,0,0"
"467,Allan Tchaptchet\ab7d7882,0.0,0,0,0.0,,,0,0,0,0,0"
"468,Nathan Tella\f1e94cd6,73.3,1677,313,81.1,80.5,64.3,6,4,8,4,6"
"469,Alex Telles\e73c9bb2,80.5,7690,3146,94.0,84.8,41.3,12,35,14,2,50"
"470,Kenny Tete\77d7c96f,74.4,11784,4782,84.2,78.5,59.7,17,35,25,19,54"
"471,William Thomas Fish\b2ee9d2c,0.0,0,0,,0.0,,0,0,0,0,0"
"472,Luke Thomas\fc027d02,74.2,5636,1957,85.4,75.9,40.7,5,22,7,2,28"
"473,Youri Tielemans\56f7a928,78.6,38768,9963,88.2,86.7,52.4,48,212,43,4,206"
"474,Kieran Tierney\fce2302c,76.2,20866,6069,87.3,83.4,46.9,33,56,34,14,98"
"475,James Tomkins\e7ca0439,78.7,2909,907,88.9,93.1,55.8,1,12,0,0,4"
"476,Fikayo Tomori\7edfbb8a,93.1,574,161,100.0,94.4,80.0,0,0,0,0,0"
"477,Ferrán Torres\9e1035f8,81.4,5793,1046,87.1,87.3,45.8,18,16,15,2,34"
"478,Cenk Tosun\9a104dee,80.0,151,14,100.0,100.0,50.0,1,0,0,0,0"
"479,Andros Townsend\b28bbd58,67.9,10358,3963,84.5,74.1,41.1,39,42,40,20,75"
"480,Conor Townsend\4dc4f138,74.9,16373,7926,88.8,79.7,43.5,22,78,25,15,118"
"481,Adama Traoré\9a28eba4,65.9,9468,2410,77.6,67.6,50.5,56,43,26,16,63"
"482,Bertrand Traoré\c47541e0,71.1,10852,2636,81.3,78.1,52.0,33,28,26,7,62"
"483,Trézéguet\3ae14ed1,69.5,3782,1102,76.4,72.5,54.8,12,22,6,3,28"
"484,Leandro Trossard\38ceb24a,74.9,15607,4328,80.2,82.0,65.1,46,79,64,15,124"
"485,Kostas Tsimikas\f315ca93,75.0,118,0,100.0,50.0,50.0,0,0,0,0,0"
"486,Axel Tuanzebe\2baec6ce,89.7,4763,1047,93.8,93.2,81.4,0,9,0,0,10"
"487,Cengiz Ünder\1880614f,70.5,1556,499,82.0,78.9,52.6,6,5,10,4,10"
"488,Yan Valery\531a4aa8,82.8,883,269,92.6,92.9,33.3,0,0,2,1,2"
"489,Jamie Vardy\45963054,66.4,4478,717,71.4,68.2,60.6,27,13,11,0,25"
"490,Joël Veltman\dad4b285,77.3,22778,9083,87.5,81.7,54.2,21,96,35,13,121"
"491,Jannik Vestergaard\1900032e,84.3,29904,10850,92.6,89.0,62.6,7,98,9,0,73"
"492,Rúben Vinagre\b937e490,83.7,1310,324,91.7,77.5,77.8,0,2,1,1,2"
"493,Carlos Vinícius\8b529245,56.8,344,57,47.4,61.5,40.0,2,2,1,0,3"
"494,João Virgínia\728e9b2e,52.9,310,223,100.0,100.0,38.5,0,0,0,0,0"
"495,Vitinha\3b029691,88.1,4834,678,89.5,95.9,67.5,12,21,3,0,12"
"496,Jake Vokins\d484c261,90.9,371,115,100.0,100.0,0.0,2,0,2,1,3"
"497,Mat?j Vydra\0d4ceb32,72.6,2434,375,76.2,77.8,64.3,14,7,9,2,13"
"498,Theo Walcott\1ecb65be,100.0,18,10,,100.0,,0,0,0,0,0"
"499,Theo Walcott\1ecb65be,72.4,4385,925,82.5,71.4,37.1,17,19,14,4,27"
"500,Kyle Walker\86dd77d1,89.4,33841,8941,93.0,93.4,76.5,7,193,12,2,107"
"501,Kyle Walker-Peters\984a5a64,80.3,21589,7161,91.6,80.9,56.4,17,59,16,2,92"
"502,Aaron Wan-Bissaka\9e525177,86.0,26841,9551,92.1,87.5,56.8,30,88,33,14,125"
"503,Joel Ward\8a7ff278,72.6,13152,6479,87.5,74.7,42.7,7,61,10,2,69"
"504,James Ward-Prowse\3515d404,80.8,37952,10063,90.3,90.4,45.0,57,155,24,1,155"
"505,Ollie Watkins\aed3a70f,72.8,8190,1449,78.1,75.2,51.4,42,40,25,3,45"
"506,Caleb Watts\c7170b46,61.5,161,41,57.1,60.0,100.0,0,0,1,1,0"
"507,Adam Webster\c40b6180,82.7,32506,11319,86.8,89.9,67.3,6,132,7,1,110"
"508,Danny Welbeck\ce5143da,81.7,2962,603,84.9,88.9,75.0,22,13,6,1,21"
"509,Timo Werner\49fe9070,77.2,9609,1894,81.4,86.0,50.9,34,31,23,6,56"
"510,Ashley Westwood\495945ef,73.7,33232,10582,89.1,82.9,50.3,49,181,73,12,202"
"511,Ben White\35e413f1,83.2,30785,9425,90.2,89.3,64.3,8,111,20,2,116"
"512,Georginio Wijnaldum\eb58eef0,93.3,28047,5426,94.7,94.8,89.5,22,140,21,1,93"
"513,Brandon Williams\5e74d6c8,85.7,2062,741,93.9,81.8,85.7,1,8,2,1,6"
"514,Neco Williams\dd323728,73.2,2548,872,89.0,81.8,42.4,3,10,1,1,17"
"515,Rhys Williams\012c975a,92.0,9374,2316,91.0,95.4,86.9,2,21,1,0,13"
"516,Willian\8b9ebd03,79.3,11784,2300,88.3,84.2,56.3,29,34,30,10,49"
"517,Joe Willock\a3b03921,75.8,1078,279,83.3,82.4,33.3,2,9,4,1,6"
"518,Joe Willock\a3b03921,76.9,2983,1140,87.3,76.8,54.5,8,19,7,2,28"
"519,Callum Wilson\c596fcb0,69.7,3521,684,74.7,77.1,64.3,14,10,13,0,20"
"520,Harry Winks\2f7acede,84.2,10474,2951,91.3,90.0,65.5,5,73,6,0,54"
"521,Chris Wood\4e9a0555,66.9,5847,916,71.7,67.9,56.5,23,24,5,0,34"
"522,Granit Xhaka\e61b8aee,89.9,39353,10257,91.5,93.5,82.9,18,268,29,1,213"
"523,Andriy Yarmolenko\849c826a,79.0,2158,584,88.6,72.0,70.8,5,10,6,2,11"
"524,DeAndre Yedlin\ae0a7ddf,64.5,1760,809,80.3,65.5,35.5,3,5,6,1,13"
"525,Okay Yoku?lu\e49ce451,83.2,7663,2263,89.4,81.7,77.6,5,27,3,0,42"
"526,Wilfried Zaha\b2bc3b1f,75.8,8928,2221,81.5,81.7,60.9,27,29,36,5,72"
"527,Andre-Frank Zambo Anguissa\6bb2c084,84.9,20529,4894,87.5,90.0,68.2,27,134,23,5,114"
"528,Andi Zeqiri\d01231f0,46.5,308,84,61.1,53.8,12.5,1,2,1,1,4"
"529,Oleksandr Zinchenko\51cf8561,90.2,21806,6052,95.0,92.1,68.3,13,108,14,0,93"
"530,Hakim Ziyech\6622454d,74.7,9413,2551,86.1,83.5,44.7,34,47,32,6,70"
"531,Kurt Zouma\ce4246f5,91.9,34007,8862,95.4,95.1,79.6,2,96,3,0,66"
"532,Martin Ødegaard\79300479,86.4,7319,1776,95.7,88.4,58.8,21,34,18,1,48"
