"Rk,Player,Cmp%,TotDist,PrgDist,Cmp%,Cmp%,Cmp%,KP,1/3,PPA,CrsPA,Prog"
"95,Calum Chambers\dc6f5bdd,80.3,8301,2388,89.2,84.6,55.3,11,24,9,5,23"
"96,Ben Chilwell\d2424d1b,78.6,24038,8064,90.9,81.4,46.6,30,87,26,11,127"
"97,Hamza Choudhury\7d2d3329,80.9,3682,616,79.3,87.3,73.5,0,13,0,0,8"
"98,Andreas Christensen\1cb49278,92.8,21334,5754,93.4,95.3,86.3,6,44,3,0,46"
"99,Carney Chukwuemeka\b2f9c73e,62.5,88,10,100.0,50.0,50.0,0,0,0,0,0"
"100,Ciaran Clark\2b91cf8e,83.0,12686,3922,87.2,90.4,65.0,2,35,2,0,35"
"101,Nathaniel Clyne\0442183b,76.8,6908,2752,89.9,80.0,40.0,4,20,13,6,25"
"102,Conor Coady\2928dca2,88.1,40617,14316,94.7,95.7,76.1,2,78,1,0,59"
"103,Séamus Coleman\0420d84f,81.5,11163,4088,90.9,85.0,60.5,18,32,14,5,43"
"104,Aaron Connolly\27c01749,78.2,1147,165,80.4,86.7,80.0,5,2,1,0,3"
"105,Liam Cooper\dc64b8b3,87.7,31575,9368,93.3,95.5,70.0,0,78,3,0,67"
"106,Theo Corbeanu\25b82f9a,100.0,53,28,100.0,,100.0,1,0,1,1,0"
"107,Jack Cork\74e12f1e,82.8,6590,1287,88.5,90.7,59.0,7,39,3,0,26"
"108,Hélder Costa\f13d02a6,73.8,3298,882,87.8,73.1,30.4,9,7,13,4,16"
"109,Vladimír Coufal\fdf3cb77,70.9,20585,10174,87.9,73.5,40.8,46,82,40,23,119"
"110,Aaron Cresswell\4f974391,74.8,30884,14764,89.0,83.7,48.6,60,149,24,17,120"
"111,Patrick Cutrone\a4fe8cda,80.0,67,2,66.7,100.0,,0,0,0,0,0"
"112,Stuart Dallas\67ca8566,82.0,31713,9947,91.0,84.3,60.2,27,141,38,9,182"
"113,Scott Dann\52105203,84.1,10396,4758,90.5,92.9,57.9,1,24,0,0,28"
"114,Karl Darlow\cde3309f,50.1,15539,11428,100.0,96.5,38.9,1,8,0,0,0"
"115,Ben Davies\44781702,77.9,10908,4213,90.2,84.9,41.7,7,42,9,4,43"
"116,Tom Davies\9228b07c,83.8,10963,2685,89.4,88.7,72.9,7,43,7,2,47"
"117,Keinan Davis\9deaf2c8,73.4,843,141,90.0,65.5,50.0,5,1,3,0,3"
"118,Leif Davis\8574c61f,84.2,384,159,100.0,90.9,60.0,0,0,1,0,1"
"119,Craig Dawson\3e9e06cb,82.5,14128,3945,92.1,92.4,64.6,1,41,1,0,25"
"120,Kevin De Bruyne\e46012d4,76.0,21109,6183,84.3,81.4,62.9,79,128,79,9,173"
"121,Liam Delap\dd897ee7,71.4,45,0,66.7,,,0,0,0,0,0"
"122,Fabian Delph\111c3236,88.0,3586,937,94.0,92.9,58.1,2,15,1,0,15"
"123,Leander Dendoncker\5a7301ae,87.9,19322,4299,90.6,89.8,83.4,16,64,8,2,62"
"124,Mbaye Diagne\dda3969e,70.4,2398,456,82.7,60.0,57.1,12,13,5,2,16"
"125,Amad Diallo\9dc96f10,84.4,839,219,87.9,90.0,80.0,2,5,1,0,5"
"126,Ibrahima Diallo\11ff3d56,85.2,8755,1972,88.7,92.4,53.9,8,36,6,1,33"
"127,Grady Diangana\f522d7ec,72.9,3593,893,80.7,79.3,28.6,5,15,7,0,26"
"128,Raphael Dias Belloli\3423f250,66.6,13455,5385,85.0,70.5,45.4,66,81,42,9,135"
"129,Rúben Dias\31c69ef1,93.5,54265,14607,95.4,97.0,84.4,3,166,9,1,116"
"130,Eric Dier\ac861941,84.6,31629,10688,90.8,92.8,67.4,3,72,5,0,62"
"131,Lucas Digne\1b84dbe1,72.5,22044,8899,87.0,77.3,44.0,44,63,37,26,108"
"132,Virgil van Dijk\e06683ca,90.0,7078,2109,93.8,94.6,76.6,0,26,0,0,20"
"133,Issa Diop\a712ca2b,84.4,9379,2899,87.0,91.4,64.4,1,28,0,0,22"
"134,Moussa Djenepo\254147d4,73.8,4570,1263,83.3,79.9,54.5,7,17,13,2,24"
"135,Matt Doherty\d557d734,80.6,10945,4240,89.3,81.1,53.4,11,23,14,7,43"
"136,Gabriel Dos Santos\67ac5bb8,86.0,27010,7820,91.3,93.5,65.8,2,82,3,2,53"
"137,Abdoulaye Doucouré\02b29014,86.0,20026,4093,87.9,90.3,79.6,18,69,21,1,65"
"138,Martin Dúbravka\3a949a25,72.6,9691,5363,100.0,97.6,51.5,0,2,0,0,0"
"139,Paul Dummett\3fe6bd8c,76.8,7707,3851,92.5,83.0,43.7,4,31,5,2,23"
"140,Lewis Dunk\282f75f3,90.0,45296,12437,94.5,95.1,77.5,9,116,2,0,70"
"141,Jimmy Dunne\1fdfd6da,71.2,2320,570,78.4,76.5,57.9,2,1,1,0,2"
"142,Ederson\3bb7b8b4,83.1,24435,13863,97.0,99.2,59.9,1,7,2,0,1"
