"Rk,Player,Pos,MP,Starts,Min,90s,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xA,npxG+xA"
"96,Ben Chilwell\d2424d1b,DF,27,27,2286,25.4,5,3,0,3,0,2.4,2.4,2.8,5.3"
"97,Hamza Choudhury\7d2d3329,MF,10,4,316,3.5,0,0,0,1,0,0.4,0.4,0.0,0.4"
"98,Andreas Christensen\1cb49278,DF,17,15,1371,15.2,0,0,0,2,1,0.1,0.1,0.4,0.5"
"99,Carney Chukwuemeka\b2f9c73e,FWMF,2,0,20,0.2,0,0,0,0,0,0.1,0.1,0.0,0.1"
"100,Ciaran Clark\2b91cf8e,DF,22,21,1891,21.0,0,1,0,3,0,0.3,0.3,0.1,0.4"
"101,Nathaniel Clyne\0442183b,DF,13,13,1145,12.7,1,0,0,2,0,0.1,0.1,0.4,0.5"
"102,Conor Coady\2928dca2,DF,37,37,3303,36.7,0,1,0,5,0,1.3,1.3,0.1,1.4"
"103,Séamus Coleman\0420d84f,DFMF,25,18,1613,17.9,3,0,0,0,0,1.2,1.2,1.9,3.1"
"104,Aaron Connolly\27c01749,FW,17,9,791,8.8,1,2,0,0,0,3.5,3.5,0.2,3.7"
"105,Liam Cooper\dc64b8b3,DF,25,25,2185,24.3,0,1,0,4,1,1.3,1.3,0.0,1.3"
"106,Theo Corbeanu\25b82f9a,FW,1,0,9,0.1,0,0,0,0,0,0.0,0.0,0.1,0.1"
"107,Jack Cork\74e12f1e,MF,16,15,1350,15.0,0,0,0,2,0,0.3,0.3,0.6,0.8"
"108,Hélder Costa\f13d02a6,MFFW,22,13,1156,12.8,3,3,0,0,0,2.0,2.0,0.9,2.9"
"109,Vladimír Coufal\fdf3cb77,DF,34,34,3054,33.9,7,0,0,3,0,1.2,1.2,4.6,5.8"
"110,Aaron Cresswell\4f974391,DF,36,36,3170,35.2,8,0,0,3,0,0.9,0.9,5.9,6.9"
"111,Patrick Cutrone\a4fe8cda,FW,2,0,25,0.3,0,0,0,0,0,0.2,0.2,0.0,0.2"
"112,Stuart Dallas\67ca8566,DFMF,38,38,3409,37.9,2,8,0,7,0,4.6,4.6,2.1,6.7"
"113,Scott Dann\52105203,DF,15,15,1350,15.0,0,1,0,1,0,0.3,0.3,0.0,0.4"
"114,Karl Darlow\cde3309f,GK,25,25,2250,25.0,0,0,0,3,0,0.0,0.0,0.0,0.0"
"115,Ben Davies\44781702,DF,20,14,1346,15.0,1,0,0,1,0,0.2,0.2,0.6,0.9"
"116,Tom Davies\9228b07c,MF,25,17,1423,15.8,1,0,0,3,0,0.2,0.2,1.0,1.1"
"117,Keinan Davis\9deaf2c8,FWMF,15,1,277,3.1,1,1,0,0,0,1.0,1.0,0.5,1.5"
"118,Leif Davis\8574c61f,DF,2,0,33,0.4,0,0,0,0,0,0.0,0.0,0.0,0.0"
"119,Craig Dawson\3e9e06cb,DF,22,22,1925,21.4,0,3,0,5,1,1.7,1.7,0.0,1.7"
"120,Kevin De Bruyne\e46012d4,MF,25,23,1997,22.2,12,4,2,1,0,9.7,7.4,10.2,17.6"
"121,Liam Delap\dd897ee7,FW,1,0,40,0.4,0,0,0,0,0,0.0,0.0,0.0,0.0"
"122,Fabian Delph\111c3236,MFDF,8,2,266,3.0,0,0,0,1,0,0.0,0.0,0.1,0.1"
"123,Leander Dendoncker\5a7301ae,MFDF,33,28,2503,27.8,0,1,0,4,0,3.3,3.3,0.7,4.0"
"124,Mbaye Diagne\dda3969e,FW,16,14,1189,13.2,2,3,0,2,0,5.0,5.0,1.7,6.7"
"125,Amad Diallo\9dc96f10,FW,3,2,166,1.8,1,0,0,0,0,0.0,0.0,0.5,0.5"
"126,Ibrahima Diallo\11ff3d56,MF,22,10,1020,11.3,0,0,0,3,0,0.6,0.6,0.6,1.2"
