"Rk,Player,Att 3rd,Att Pen,Succ,Att,Succ%,#Pl,Megs,PrgDist,Prog,1/3,CPA,Mis,Dis"
"112,Stuart Dallas\67ca8566,702,65,22,37,59.5,25,0,4952,184,73,15,37,42"
"113,Scott Dann\52105203,25,15,5,5,100.0,5,0,799,15,1,0,3,0"
"114,Karl Darlow\cde3309f,1,1,0,0,,0,0,867,0,0,0,1,0"
"115,Ben Davies\44781702,208,15,5,9,55.6,7,0,1391,54,18,4,3,5"
"116,Tom Davies\9228b07c,110,5,16,22,72.7,18,0,1348,52,12,2,14,15"
"117,Keinan Davis\9deaf2c8,73,30,7,11,63.6,8,0,230,11,3,2,11,7"
"118,Leif Davis\8574c61f,3,0,1,1,100.0,1,0,62,1,2,0,0,0"
"119,Craig Dawson\3e9e06cb,38,22,0,0,,0,0,1203,21,5,0,5,0"
"120,Kevin De Bruyne\e46012d4,916,108,40,69,58.0,45,2,4210,213,82,31,35,34"
"121,Liam Delap\dd897ee7,3,1,0,0,,0,0,0,0,0,0,2,1"
"122,Fabian Delph\111c3236,45,0,8,12,66.7,8,0,452,17,5,0,2,2"
"123,Leander Dendoncker\5a7301ae,243,59,11,16,68.8,11,1,1886,62,13,2,19,9"
"124,Mbaye Diagne\dda3969e,154,48,13,16,81.3,13,0,227,10,3,3,24,26"
"125,Amad Diallo\9dc96f10,32,4,3,9,33.3,3,0,182,7,5,0,4,6"
"126,Ibrahima Diallo\11ff3d56,123,10,11,17,64.7,13,1,1065,45,19,0,10,21"
"127,Grady Diangana\f522d7ec,263,32,24,50,48.0,25,2,1351,69,21,7,34,41"
"128,Raphael Dias Belloli\3423f250,687,135,61,118,51.7,66,5,3115,162,40,31,72,36"
"129,Rúben Dias\31c69ef1,71,28,3,6,50.0,3,0,8057,230,17,0,7,5"
"130,Eric Dier\ac861941,60,21,3,5,60.0,4,0,3828,66,11,2,4,2"
"131,Lucas Digne\1b84dbe1,694,39,14,23,60.9,15,1,2509,100,37,4,25,32"
"132,Virgil van Dijk\e06683ca,9,5,0,0,,0,0,413,13,0,0,1,0"
"133,Issa Diop\a712ca2b,11,7,5,5,100.0,5,0,1007,23,2,0,3,3"
"134,Moussa Djenepo\254147d4,233,45,35,65,53.8,41,2,995,62,16,11,39,23"
"135,Matt Doherty\d557d734,264,22,7,16,43.8,8,0,1313,66,21,1,13,12"
"136,Gabriel Dos Santos\67ac5bb8,59,25,4,9,44.4,5,0,4366,111,6,2,3,4"
"137,Abdoulaye Doucouré\02b29014,348,39,17,28,60.7,18,2,2440,81,33,1,30,30"
"138,Martin Dúbravka\3a949a25,0,0,0,0,,0,0,547,0,0,0,1,1"
"139,Paul Dummett\3fe6bd8c,80,7,2,3,66.7,2,0,699,13,4,0,5,1"
"140,Lewis Dunk\282f75f3,117,46,5,6,83.3,6,0,4228,88,21,0,6,2"
"141,Jimmy Dunne\1fdfd6da,21,15,1,2,50.0,1,0,49,0,0,0,2,0"
"142,Ederson\3bb7b8b4,0,0,0,0,,0,0,1936,0,0,0,1,0"
"143,Kyle Edwards\1566e437,20,6,1,4,25.0,1,0,175,10,1,2,2,2"
"144,John Egan\debe38a0,53,26,2,2,100.0,2,0,3070,70,7,0,4,1"
"145,Anthony Elanga\2fba6108,42,6,4,7,57.1,5,0,102,6,1,1,11,4"
"146,Ahmed Elmohamady\615ef733,213,14,4,5,80.0,4,0,837,44,15,2,2,7"
"147,Mohamed Elneny\47a34c4f,150,5,7,9,77.8,7,1,1981,70,17,0,5,7"
"148,Jonny Evans\f8fcd2a5,54,18,6,6,100.0,6,0,3264,53,6,0,5,6"
"149,Eberechi Eze\ae4fc6a4,610,52,69,108,63.9,73,4,3974,188,63,18,42,54"
"150,?ukasz Fabia?ski\9328b835,0,0,0,0,,0,0,1535,0,0,0,0,0"
"151,Fabinho\7f3b388c,176,13,5,9,55.6,6,0,4215,156,26,2,8,13"
"152,Bruno Fernandes\507c7bdf,1339,132,26,56,46.4,30,2,4259,234,73,13,47,40"
"153,Federico Fernández\f25b010f,90,13,0,0,,0,0,914,10,4,0,3,4"
"154,Fernandinho\101da2b5,181,12,10,15,66.7,13,0,2437,135,42,5,4,6"
"155,Sam Field\bd8a7d05,2,0,1,2,50.0,2,0,19,1,1,0,0,1"
"156,Roberto Firmino\4c370d81,859,217,50,73,68.5,53,5,2817,168,38,32,59,53"
"157,John Fleck\b63e789d,552,31,36,54,66.7,38,4,2679,129,50,5,21,35"
"158,Phil Foden\ed1e53f3,653,144,43,71,60.6,48,4,2237,137,33,37,39,29"
"159,Wesley Fofana\132a82f1,108,18,13,17,76.5,13,0,5208,171,38,0,17,12"
"160,Pablo Fornals\82927de4,551,74,21,51,41.2,24,3,2622,127,46,13,29,33"
"161,Fraser Forster\c3e39f12,0,0,0,0,,0,0,325,0,0,0,0,0"
"162,Timothy Fosu-Mensah\a9142dc3,37,4,0,0,,0,0,157,7,4,1,1,2"
"163,Tyrese Francois\6722d4f0,4,0,0,1,0.0,0,0,27,0,0,0,0,0"
"164,Ryan Fraser\d56543a0,272,26,4,7,57.1,5,1,750,46,7,5,14,8"
"165,Fred\b853e0ad,454,17,24,32,75.0,29,1,3168,116,40,2,25,34"
"166,Ryan Fredericks\c067631c,128,11,2,6,33.3,3,0,587,27,9,2,1,0"
"167,Christian Fuchs\a67a09fb,87,2,0,2,0.0,0,0,696,27,8,0,2,1"
"168,Darnell Furlong\3ec9195b,488,58,12,27,44.4,15,0,1543,64,31,2,33,15"
"169,Conor Gallagher\c2731c10,418,44,37,59,62.7,39,2,1942,80,26,9,42,45"
"170,Eric García\2bed3eab,15,1,0,0,,0,0,1056,45,7,0,1,0"
"171,Dwight Gayle\e58a03c6,80,26,1,3,33.3,1,0,148,6,3,1,8,3"
"172,Jean-Philippe Gbamin\6bd603db,7,0,0,1,0.0,0,0,12,2,1,0,0,1"
"173,David de Gea\7ba6d84e,0,0,0,0,,0,0,427,0,0,0,0,0"
"174,Anwar El Ghazi\ffa90327,521,84,28,49,57.1,28,2,1813,107,32,16,39,41"
"175,Kieran Gibbs\46ee5234,78,3,2,3,66.7,2,0,553,23,5,0,5,3"
"176,Morgan Gibbs-White\32f60ed8,132,9,7,13,53.8,7,1,589,38,15,2,15,6"
"177,Billy Gilmour\df10e27c,55,0,1,3,33.3,1,1,245,12,4,0,0,3"
"178,Olivier Giroud\16ceb862,137,47,3,5,60.0,3,0,72,3,1,0,15,9"
"179,Ben Godfrey\9f7c837d,146,21,8,14,57.1,9,0,3460,80,28,3,17,15"
"180,André Gomes\1961b2aa,253,16,26,41,63.4,28,1,1874,87,25,3,17,35"
"181,Joe Gomez\7a11550b,6,0,4,4,100.0,4,0,1072,28,0,0,1,6"
"182,Anthony Gordon\2bd83368,18,3,3,7,42.9,3,0,116,4,0,1,3,4"
"183,Karlan Grant\87f7500e,180,43,12,21,57.1,14,1,446,28,8,9,31,20"
"184,Demarai Gray\4468ec10,11,1,0,0,,0,0,28,2,0,0,1,1"
"185,Jack Grealish\b0b4fd3e,817,177,61,93,65.6,64,0,5758,306,91,80,46,47"
"186,Mason Greenwood\58eee997,528,113,38,73,52.1,45,2,2284,135,26,35,29,37"
"187,Pascal Groß\8aec0537,771,74,11,20,55.0,11,0,2610,139,56,8,30,22"
"188,Kamil Grosicki\81d8091f,35,4,1,1,100.0,1,0,168,13,0,2,2,2"
"189,Vicente Guaita\ab13a5aa,0,0,0,0,,0,0,1319,0,0,0,0,0"
"190,?lkay Gündo?an\819b3158,728,92,29,42,69.0,32,1,3676,175,65,15,21,14"
"191,Antwoine Hackford\a7588cdc,1,1,0,0,,0,0,0,0,0,0,0,0"
"192,Sébastien Haller\ba115a40,177,54,8,14,57.1,9,1,187,8,4,0,34,19"
"193,Rekeem Harper\3c066877,6,0,1,1,100.0,1,0,18,1,1,0,1,0"
"194,Jack Harrison\aa849a12,800,119,46,78,59.0,49,3,3767,202,48,31,75,67"
"195,Kortney Hause\bf8fad51,14,11,0,1,0.0,0,0,377,7,1,0,2,0"
"196,Kai Havertz\fed7cb61,441,91,22,46,47.8,24,3,1703,84,45,16,45,38"
"197,Isaac Hayden\c951a6df,193,13,10,18,55.6,11,0,758,25,14,2,15,17"
"198,Michael Hector\5f1a2f31,5,1,2,2,100.0,2,0,447,9,1,0,1,0"
"199,Ahmed Hegazi\5540c9dc,0,0,0,0,,0,0,62,0,0,0,1,0"
"200,Dean Henderson\e5a76dfe,0,0,0,0,,0,0,392,0,0,0,0,0"
"201,Jordan Henderson\935e6b8f,278,15,7,13,53.8,7,1,4457,150,44,1,7,3"
"202,Jeff Hendrick\989d5705,144,17,10,18,55.6,11,0,654,22,9,2,9,15"
"203,Pablo Hernández\c0398aca,164,21,9,12,75.0,9,0,1166,66,23,6,4,2"
"204,Son Heung-min\92e7e919,813,143,38,61,62.3,38,5,2941,161,51,33,50,64"
"205,Ki-Jana Hoever\9a71e978,134,11,9,18,50.0,11,0,940,46,16,2,7,8"
"206,Rob Holding\d79a8c87,75,20,9,12,75.0,9,1,4317,105,8,0,3,8"
"207,Mason Holgate\d0042ab9,164,8,7,11,63.6,8,0,2473,49,8,1,11,9"
"208,Conor Hourihane\fcab00a0,85,5,0,0,,0,0,82,4,0,0,1,0"
"209,Callum Hudson-Odoi\15f3ec41,485,71,15,28,53.6,15,1,2593,161,33,34,13,15"
"210,Niall Huggins\6d646ff7,6,1,0,0,,0,0,30,3,1,1,0,0"
"211,Pierre Højbjerg\8b04d6c1,356,25,25,38,65.8,26,2,4334,147,26,5,28,30"
"212,Odion Ighalo\03622183,4,2,0,0,,0,0,0,0,0,0,1,3"
"213,Kelechi Iheanacho\c92e1a31,418,81,29,49,59.2,33,2,1154,57,25,8,57,35"
"214,Danny Ings\07802f7f,405,122,37,64,57.8,39,5,1033,59,23,14,58,33"
"215,Branislav Ivanovi?\85f8571a,11,6,0,0,,0,0,401,4,1,0,1,1"
"216,Alex Iwobi\6ca5ec4b,363,46,46,71,64.8,47,7,2997,148,43,14,27,28"
"217,José Izquierdo\ca2bc3df,11,1,0,1,0.0,0,0,65,3,1,0,1,0"
"218,Phil Jagielka\3233eefd,8,1,0,0,,0,0,152,4,1,0,0,0"
"219,Alireza Jahanbakhsh\08452314,207,37,15,18,83.3,15,1,767,42,15,9,12,7"
"220,Daniel James\c931d9f9,233,43,9,18,50.0,11,0,1176,61,17,11,18,21"
"221,Reece James\1265a93a,824,62,40,53,75.5,42,1,3378,178,49,25,13,27"
"222,Alexandre Jankewitz\7c39363f,2,0,0,0,,0,0,0,0,0,0,1,0"
"223,Daniel Jebbison\03edb878,35,5,2,3,66.7,2,0,53,3,0,1,9,7"
"224,Gabriel Jesus\b66315ae,601,151,45,76,59.2,46,4,1960,118,28,25,45,50"
